First,Last,Position,team,AB,SB,AVG,OBP,SLG,OPS
Aaron,Judge,CF,NYY,570,16,0.311,0.425,0.686,1.111
Yordan,Alvarez,LF,HOU,470,1,0.306,0.406,0.613,1.019
Paul,Goldschmidt,1B,STL,561,7,0.317,0.404,0.578,0.982
Jose,Altuve,2B,HOU,527,18,0.3,0.387,0.533,0.92
Freddie,Freeman,1B,LAD,612,13,0.325,0.407,0.511,0.918
Manny,Machado,3B,SD,578,9,0.298,0.366,0.531,0.897
Nolan,Arenado,3B,STL,557,5,0.293,0.358,0.533,0.891
Rafael,Devers,3B,BOS,555,3,0.295,0.358,0.521,0.879
Austin,Riley,3B,ATL,615,2,0.273,0.349,0.528,0.877
Shohei,Ohtani,CF,LAA,586,11,0.273,0.356,0.519,0.875
Mookie,Betts,RF,LAD,572,12,0.269,0.34,0.533,0.873
Pete,Alonso,1B,NYM,597,5,0.271,0.352,0.518,0.87
Jose,Ramirez,3B,CLE,601,20,0.28,0.355,0.514,0.869
Julio,Rodriguez,CF,SEA,511,25,0.284,0.345,0.509,0.854
Juan,Soto,RF,SD,524,6,0.242,0.401,0.452,0.853
Nathaniel,Lowe,1B,TEX,593,2,0.302,0.358,0.492,0.85
Andres,Gimenez,2B,CLE,491,20,0.297,0.371,0.466,0.837
Jeff,Neil,2B,NYM,533,4,0.326,0.382,0.454,0.836
Xander,Bogaerts,SS,BOS,557,8,0.307,0.377,0.456,0.833
Carlos,Correa,SS,MIN,522,0,0.291,0.366,0.467,0.833
Taylor,Ward,RF,LAA,495,5,0.281,0.36,0.473,0.833
Kyle,Schwarber,LF,PHI,577,10,0.218,0.323,0.504,0.827
Jose,Abreu,1B,CWS,601,0,0.304,0.378,0.446,0.824
Yandy,Diaz,3B,TB,473,3,0.296,0.401,0.423,0.824
Alex,Bregman,3B,HOU,548,1,0.259,0.366,0.454,0.82
J.T,Realmuto,C,PHI,504,21,0.276,0.342,0.478,0.82
Vladimir,Guerrero,1B,TOR,638,8,0.274,0.339,0.48,0.819
Anthony,Rizzo,1B,NYY,465,6,0.224,0.338,0.48,0.818
Starling,Marte,RF,NYM,466,18,0.292,0.347,0.468,0.815
George,Springer,CF,TOR,513,14,0.267,0.342,0.472,0.814
Brandon,Drury,1B,SD,518,2,0.263,0.32,0.492,0.812
Trea,Turner,SS,LAD,652,27,0.298,0.343,0.466,0.809
Will,Smith,C,LAD,508,1,0.26,0.343,0.465,0.808
Kyle,Tucker,RF,HOU,544,25,0.257,0.33,0.478,0.808
Teoscar,Hernandez,RF,TOR,499,6,0.267,0.316,0.491,0.807
Hunter,Renfroe,RF,MIL,474,1,0.255,0.315,0.492,0.807
Bryan,Reynolds,CF,PIT,542,7,0.262,0.345,0.461,0.806
Christian,Walker,1B,ARI,583,2,0.242,0.327,0.477,0.804
Bo,Bichette,SS,TOR,652,13,0.29,0.333,0.469,0.802
Matt,Olson,1B,ATL,616,0,0.24,0.325,0.477,0.802
Brandon,Nimmo,CF,NYM,580,3,0.274,0.367,0.433,0.8
Luis,Arraez,1B,MIN,547,4,0.316,0.375,0.42,0.795
Rhys,Hoskins,1B,PHI,589,2,0.246,0.332,0.462,0.794
Eugenio,Suarez,3B,SEA,543,0,0.236,0.332,0.459,0.791
J.D.,Martinez,CF,BOS,533,0,0.274,0.341,0.448,0.789
Francisco,Lindor,SS,NYM,630,16,0.27,0.339,0.449,0.788
Justin,Turner,3B,LAD,468,3,0.278,0.35,0.438,0.788
Alejandro,Kirk,C,TOR,470,0,0.285,0.372,0.415,0.787
Josh,Bell,LF,SD,552,0,0.266,0.362,0.422,0.784
C.J.,Cron,1B,COL,575,0,0.257,0.315,0.468,0.783
