last_name, first_name,G,IP,BB,ERA,GS,position
Wainwright, Adam,32,191.2,54,3.71,32,P
Verlander, Justin,28,175,29,1.75,28,P
Kluber, Corey,31,164,21,4.34,31,P
Morton, Charlie,31,172,63,4.34,31,P
Quintana, Jose,32,165.2,47,2.93,32,P
Gibson, Kyle,31,167.2,48,5.05,31,P
Darvish, Yu,30,194.2,37,3.1,30,P
Kelly, Merrill,33,200.1,61,3.37,33,P
Perez, Martin,32,196.1,69,2.89,32,P
Anderson, Tyler,30,178.2,34,2.57,28,P
Cole, Gerrit,33,200.2,50,3.5,33,P
Lyles, Jordan,32,179,52,4.42,32,P
Mikolas, Miles,33,202.1,39,3.29,32,P
Gausman, Kevin,31,174.2,28,3.35,31,P
Ray, Robbie,32,189,62,3.71,32,P
Taillon, Jameson,32,177.1,32,3.91,32,P
Gonzales, Marco,32,183,50,4.13,32,P
Pivetta, Nick,33,179.2,73,4.56,33,P
Bassitt, Chris,30,181.2,49,3.42,30,P
Musgrove, Joe,30,181,42,2.93,30,P
Nola, Aaron,32,205,29,3.25,32,P
Rodon, Carlos,31,178,52,2.88,31,P
Freeland, Kyle,31,174.2,53,4.53,31,P
Fried, Max,30,185.1,32,2.48,30,P
Irvin, Cole,30,181,36,3.98,30,P
Marquez, German,31,181.2,63,4.95,31,P
Quantrill, Cal,32,186.1,47,3.38,32,P
Berrios, Jose,32,172,45,5.23,32,P
Urias, Julio,31,175,41,2.16,31,P
Lopez, Pablo,32,180,53,3.75,32,P
Alcantara, Sandy,32,228.2,50,2.28,32,P
Cease, Dylan,32,184,78,2.2,32,P
Montgomery, Jordan,32,178.1,36,3.48,32,P
Wright, Kyle,30,180.1,53,3.19,30,P
Webb, Logan,32,192.1,49,2.9,32,P
Ohtani, Shohei,28,166,44,2.33,28,P
McKenzie, Triston,31,191.1,44,2.96,30,P
McClanahan, Shane,28,166.1,38,2.54,28,P
Valdez, Framber,31,201.1,67,2.82,31,P
Urquidy, Jose,29,164.1,38,3.94,28,P
Manoah, Alek,31,196.2,51,2.24,31,P
Gallen, Zac,31,184,47,2.54,31,P
Burnes, Corbin,33,202,51,2.94,33,P
Gilbert, Logan,32,185.2,49,3.2,32,P
Bieber, Shane,31,200,36,2.88,31,P
